houseguid,formalname_region,formalname_area,formalname_city,formalname_street,house_number,building,block,letter,floor_count_max,floor_count_min,living_quarters_count,area_residential
021afea9-1e5e-45b1-8ae2-c39780cdf127,Свердловская,Богдановичский,Богданович,Чапаева,12,,,,2.0,2.0,11.0,"429,90"
3ce8b460-7df4-42ee-9f93-6ac4a3a4cfbb,Свердловская,Богдановичский,Богданович,Юбилейная,5,,,,1.0,1.0,2.0,"95,70"
4a869f48-2c87-4ac4-9ae2-e37e30178746,Свердловская,Богдановичский,Богданович,Формовщиков,7,,,,1.0,,,"127,00"
41d37a79-2e8b-4691-a373-84f5f0f7264e,Свердловская,Богдановичский,Богданович,Формовщиков,8,,,,1.0,,,"129,50"
61240c5b-b5f0-4397-978c-aeabe75893eb,Свердловская,Богдановичский,Богданович,Циолковского,55,,,,1.0,,,"212,60"
137c4cfc-45b9-4a73-87bc-3574c203878a,Свердловская,Богдановичский,Богданович,Чапаева,6,,,,1.0,,,"109,50"
cbc20cc8-57fc-414a-8699-950a21292716,Свердловская,Богдановичский,Богданович,Чапаева,13,,,,1.0,1.0,1.0,"56,10"
119945fb-dae4-4288-b114-2d25b992626e,Свердловская,Богдановичский,Богданович,Чапаева,14,,,,2.0,2.0,16.0,"709,60"
23656aea-c148-477e-9365-483af52870ef,Свердловская,Богдановичский,Богданович,Чапаева,16,,,,2.0,2.0,4.0,"173,90"
3cf1dbc3-6da3-4543-a6d8-9c08d9f9eb25,Свердловская,Богдановичский,Богданович,Чапаева,31,,,,2.0,2.0,22.0,"887,80"
94cdb773-de04-4fd8-b5dc-f09064cb0e38,Свердловская,Богдановичский,Богданович,Чкалова,1,,,,1.0,,,"108,50"
3091ae7f-d8b4-4927-8654-b9d528387c51,Свердловская,Богдановичский,Богданович,Чкалова,3,,,,1.0,,,"127,80"
4be0e5a7-cb19-4540-bc5f-d0f4b211b10d,Свердловская,Богдановичский,Богданович,Чкалова,4,,,,1.0,,,"127,90"
b5b151e7-4903-40e1-a884-5341e537eba1,Свердловская,Богдановичский,Богданович,Чкалова,5,,,,1.0,,,"129,90"
df866ec4-fa2c-425d-bd0f-e9ef41c187e6,Свердловская,Богдановичский,Богданович,Чкалова,7,,,,1.0,,,"129,90"
3ead51c3-7f1b-4e14-9121-bceed5e981d5,Свердловская,Богдановичский,Богданович,Чкалова,9,,,,1.0,,,"153,70"
14274197-34de-4a06-abb1-cc6e936eb40f,Свердловская,Богдановичский,Богданович,Чкалова,9А,,,,1.0,,,"178,40"
323b275c-11b7-4c48-9fa7-dac7d96b2fd2,Свердловская,Богдановичский,Богданович,Труда,10,,,,1.0,,,"233,70"
ecab659a-a2fe-4eed-8a73-a225e1aaf7e9,Свердловская,Богдановичский,Богданович,Тимирязева,15,,,,5.0,5.0,84.0,"3858,60"
ec829c88-3860-478a-8dca-8e008a969059,Свердловская,Верхнесалдинский,Верхняя Салда,Воронова,2,,4,,5.0,5.0,70.0,"3127,60"
a146cb39-f63d-4520-913b-2c4191b6d7b9,Свердловская,Богдановичский,Богданович,Тимирязева,13,,,,5.0,5.0,66.0,"3154,00"
2f16018f-24c9-4865-b094-d0218ceb1c8b,Свердловская,Богдановичский,Богданович,Степана Разина,41,,,,5.0,5.0,158.0,"2769,10"
cb16efe7-a692-448b-bb80-8d56c281d0cf,Свердловская,Богдановичский,Богданович,Степана Разина,56,,А,,5.0,5.0,90.0,"4375,90"
ebbf8861-fb5a-4686-8b58-1b92ec7f7408,Свердловская,Богдановичский,Богданович,Стрелочников,1а,,,,1.0,1.0,2.0,"91,20"
071e149f-d5fd-4166-a54e-cdb17a952fec,Свердловская,Богдановичский,Богданович,Стрелочников,9,,,,1.0,1.0,1.0,"20,70"
bbe40cef-dd00-4c2b-9fbc-1b2f8d08ea43,Свердловская,Богдановичский,Богданович,Стрелочников,9А,,,,2.0,2.0,8.0,"296,60"
5ab49aba-6f19-4e0e-9dc8-5a1231824afe,Свердловская,Богдановичский,Богданович,Строителей,6,,,,1.0,,,"47,20"
54388943-f282-4618-97fa-310ff0d62e49,Свердловская,Богдановичский,Богданович,Формовщиков,5,,,,1.0,,,"127,90"
35e90a43-7239-4312-95c8-d8e0988a154e,Свердловская,Богдановичский,Богданович,Формовщиков,4,,,,2.0,,,"127,40"
565a4308-e607-487e-bef1-01ae632a48f6,Свердловская,Богдановичский,Богданович,Формовщиков,2,,,,1.0,1.0,2.0,"86,70"
b5b02bfc-e306-43bf-94be-cd873eb215c9,Свердловская,Богдановичский,Богданович,Уральская,63,,,,1.0,,,"217,80"
521703c0-0cb1-4c95-b380-40966f292b40,Свердловская,,Верхний Тагил,Островского,47,,,,2.0,2.0,13.0,"408,30"
84bc4c4d-d719-4810-83ba-36db769acee5,Свердловская,,Верхний Тагил,Островского,49,,,,2.0,2.0,8.0,"266,30"
3c608775-dbb4-4a3c-a757-51c2d503aa8e,Свердловская,,Верхний Тагил,Островского,45,,,,2.0,2.0,14.0,"414,50"
2a5acc28-81e8-4bbb-9b27-d80cb4e1b713,Свердловская,Верхнесалдинский,Верхняя Салда,Ленина,10,,,,5.0,5.0,68.0,"3237,23"
730277d7-2a55-4296-8700-8a6acc44de91,Свердловская,,Верхний Тагил,Островского,51,,,,2.0,2.0,8.0,"407,80"
3cffcd55-c90c-4452-b252-77190e0bf2d3,Свердловская,,Верхний Тагил,Островского,53,,,,2.0,2.0,8.0,"424,00"
fd1d5541-f3c3-442d-896e-97029b434e81,Свердловская,,Верхний Тагил,Островского,54,,,,4.0,4.0,48.0,"1326,30"
943d6dd1-c1fc-496d-92e0-186404f55357,Свердловская,,Верхний Тагил,Островского,55,,,,2.0,2.0,8.0,"259,60"
234265d8-0fef-4f78-a156-9a52a0ab9cca,Свердловская,,Верхний Тагил,Островского,56,,,,4.0,4.0,74.0,"1758,60"
16bd4d74-98e8-46f5-8f65-729894243a7c,Свердловская,,Верхний Тагил,Островского,56,А,,,5.0,5.0,60.0,"2725,10"
eb41efa6-8615-42a8-b94e-f24a042e396d,Свердловская,,Верхний Тагил,Островского,59,,,,2.0,2.0,8.0,"407,10"
3c21c230-b7fc-4f12-b5db-8a92ca72ec06,Свердловская,,Верхний Тагил,Садовая,9,,,,2.0,2.0,10.0,"497,90"
52790041-95b2-425e-9fcc-a85499c263d3,Свердловская,Богдановичский,Богданович,Строителей,51,,,,2.0,2.0,8.0,"363,10"
b9f857ca-92d6-4ad9-b055-255516a1fe30,Свердловская,,Верхний Тагил,Островского,60а,,,,2.0,2.0,16.0,"394,00"
5f1ce38c-ce97-43b5-bbdf-4f43110b1b78,Свердловская,,Верхний Тагил,Садовая,2,,,,4.0,4.0,32.0,"1292,00"
6778887a-789d-4a54-aa7b-f71322a728c3,Свердловская,,Верхний Тагил,Садовая,3,,,,3.0,3.0,24.0,"951,50"
a860cf7d-614a-4a85-a4dc-fd5eaf996559,Свердловская,,Верхний Тагил,Садовая,4,,,,4.0,4.0,28.0,"1115,40"
8762fe98-7700-499c-ad03-388f72b1e4ad,Свердловская,,Верхний Тагил,Садовая,5,,,,3.0,3.0,19.0,"1319,30"
53a35ea4-274c-43d7-bb04-7563899821f5,Свердловская,,Верхний Тагил,Садовая,6,,,,3.0,3.0,19.0,"897,70"
